Product Name,Product Score,Cancer Concern,Allergies & Immunotoxicity,Developmental and Reproductive Toxicity,Use Restrictions,Other Concerns
COCOS NUCIFERA (COCONUT) OIL,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low) and Irritation (skin, eyes, or lungs) (low)"
POTASSIUM SORBATE,2,LOW,MODERATE,LOW,LOW,Non-reproductive organ system toxicity (low)
HELIANTHUS ANNUUS (SUNFLOWER) OIL,1,LOW,LOW,LOW,LOW,
XANTHAN GUM,1,LOW,LOW,LOW,LOW,
PANTHENOL,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
ALOE BARBADENSIS (ALOE VERA) LEAF JUICE,1,MODERATE,LOW,LOW,LOW,Use restrictions (low)
CETEARYL ALCOHOL,1,LOW,LOW,LOW,LOW,
PROPYLENE GLYCOL,3,LOW,MODERATE,LOW,LOW,"Enhanced skin absorption, Use restrictions (low), Non-reproductive organ system toxicity (moderate), and Irritation (skin, eyes, or lungs) (high)"
SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL,1,LOW,LOW,LOW,LOW,
CYCLOPENTASILOXANE,3,LOW,LOW,LOW,LOW,"Neurotoxicity (low), Endocrine disruption (low), Persistence and bioaccumulation (high), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
SODIUM HYALURONATE,1,LOW,LOW,LOW,LOW,
SODIUM HYDROXIDE,1,LOW,LOW,LOW,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (moderate), and Irritation (skin, eyes, or lungs) (low)"
CETYL ALCOHOL,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
FD&C YELLOW 5 (CI 19140) ALUMINUM LAKE,4,LOW,MODERATE,LOW,LOW,"Use restrictions (low), Neurotoxicity (moderate), Endocrine disruption (low), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), and Contamination concerns (high)"
COCAMIDOPROPYL BETAINE,1,LOW,MODERATE,LOW,HIGH,Use restrictions (high) and Contamination concerns (high)
CI 42090 (FD&C Blue No. 1 or D&C Blue No. 4) Aluminum Lake,3,MODERATE,LOW,LOW,HIGH,"Use restrictions (high), Neurotoxicity (low), Endocrine disruption (low), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), Multiple, additive exposure sources (low), Irritation (skin, eyes, or lungs) (moderate), and Contamination concerns (high)"
BENZYL ALCOHOL,4,LOW,HIGH,LOW,MODERATE,"Use restrictions (moderate), Non-reproductive organ system toxicity (moderate), and Occupational hazards (high)"
STEARIC ACID,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
BEESWAX,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (low)"
DISTEARDIMONIUM HECTORITE,1,LOW,LOW,LOW,LOW,
GLYCERYL MONOSTEARATE,1,LOW,LOW,LOW,LOW,
TIN OXIDE,4,LOW,LOW,LOW,LOW,"Enhanced skin absorption, Persistence and bioaccumulation (high), Non-reproductive organ system toxicity (low), Irritation (skin, eyes, or lungs) (low), and Occupational hazards (low)"
CI 15850 (D&C Red No. 6 or 7) Aluminum Lake,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
ISODODECANE,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (low), and Irritation (skin, eyes, or lungs) (low)"
TALC,5,HIGH,LOW,LOW,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (moderate), and Contamination concerns (high)"
CASTOR OIL,2,LOW,LOW,MODERATE,LOW,"Enhanced skin absorption, Irritation (skin, eyes, or lungs) (moderate), and Biochemical or cellular level changes (low)"
ETHYLHEXYL PALMITATE,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (moderate)"
CARBOMER,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (low)"
CI 15850 (D&C Red No. 6 or 7),1,LOW,LOW,LOW,HIGH,"Use restrictions (high), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
BHT,5,MODERATE,HIGH,LOW,LOW,"Endocrine disruption (low), Non-reproductive organ system toxicity (moderate), and Irritation (skin, eyes, or lungs) (moderate)"
SYNTHETIC FLUORPHLOGOPITE,1,LOW,LOW,LOW,LOW,
FD&C Yellow 5 (CI 19140),4,LOW,MODERATE,LOW,LOW,"Neurotoxicity (moderate), Endocrine disruption (low), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), and Contamination concerns (high)"
TRIMETHYLSILOXYSILICATE,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
POLYETHYLENE,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (moderate)"
COPERNICIA CERIFERA (CARNAUBA) WAX,1,LOW,LOW,LOW,LOW,
PROPANEDIOL,2,LOW,LOW,LOW,LOW,"Enhanced skin absorption, Endocrine disruption (low), and Irritation (skin, eyes, or lungs) (high)"
ULTRAMARINES,1,LOW,LOW,LOW,HIGH,"Use restrictions (high) and Multiple, additive exposure sources (low)"
PROPYLENE CARBONATE,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (high)"
MICROCRYSTALLINE WAX (CERA MICROCRISTALLINA),1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
OLEA EUROPAEA (OLIVE) OIL,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
CI 42090 (FD&C Blue No. 1 or D&C Blue No. 4),3,MODERATE,LOW,LOW,HIGH,"Use restrictions (high), Neurotoxicity (low), Endocrine disruption (low), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), Multiple, additive exposure sources (low), Irritation (skin, eyes, or lungs) (moderate), and Contamination concerns (high)"
TETRASODIUM EDTA,2,LOW,LOW,LOW,LOW,"Enhanced skin absorption, Non-reproductive organ system toxicity (moderate), Irritation (skin, eyes, or lungs) (high), and Occupational hazards (high)"
CI 45410 (D&C Red No. 27 or 28) Lake,5,LOW,LOW,LOW,HIGH,"Use restrictions (high), Endocrine disruption (low), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), Ecotoxicology (low), and Irritation (skin, eyes, or lungs) (low)"
POLYSORBATE-20,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
ALCOHOL DENATURED,1,LOW,LOW,LOW,LOW,"Enhanced skin absorption, Non-reproductive organ system toxicity (moderate), and Multiple, additive exposure sources (low)"
OCTYLDODECANOL,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (moderate)"
CITRONELLOL,3,LOW,HIGH,LOW,MODERATE,Use restrictions (moderate)
TRIETHOXYCAPRYLYLSILANE,1,LOW,LOW,LOW,LOW,
MANGANESE VIOLET,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate) and Ecotoxicology (low)
CARMINE,1,LOW,LOW,LOW,LOW,
EUPHORBIA CERIFERA (CANDELILLA) WAX,1,LOW,LOW,LOW,LOW,
PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE,2,LOW,LOW,LOW,LOW,Persistence and bioaccumulation (high)
"1,2-HEXANEDIOL",1,LOW,LOW,LOW,LOW,
HEXYLENE GLYCOL,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (high)"
GERANIOL,3,LOW,HIGH,LOW,MODERATE,Use restrictions (moderate)
POLYBUTENE,1,LOW,LOW,LOW,LOW,"Non-reproductive organ system toxicity (moderate) and Irritation (skin, eyes, or lungs) (low)"
MINERAL OIL,1,LOW,MODERATE,LOW,LOW,Persistence and bioaccumulation (low) and Non-reproductive organ system toxicity (moderate)
HEXYL CINNAMAL,3,LOW,HIGH,LOW,LOW,
CAMELLIA SINENSIS (GREEN TEA) LEAF EXTRACT,2,LOW,MODERATE,LOW,MODERATE,Use restrictions (moderate)
KAOLIN,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low)
LECITHIN,2,LOW,MODERATE,LOW,LOW,"Enhanced skin absorption, Use restrictions (low), Multiple, additive exposure sources (low), and Contamination concerns (high)"
PERSEA GRATISSIMA (AVOCADO) OIL,1,LOW,LOW,LOW,LOW,
ARGANIA SPINOSA (ARGAN) KERNEL OIL,1,LOW,LOW,LOW,LOW,
ETHANOL,1,LOW,LOW,LOW,LOW,Enhanced skin absorption and Non-reproductive organ system toxicity (moderate)
THEOBROMA CACAO (COCOA) SEED BUTTER,1,LOW,LOW,LOW,LOW,
ALUMINUM HYDROXIDE,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
METHYLISOTHIAZOLINONE,7,LOW,HIGH,LOW,HIGH,"Use restrictions (high), Neurotoxicity (low), Ecotoxicology (low), and Irritation (skin, eyes, or lungs) (moderate)"
SQUALANE,1,LOW,LOW,LOW,LOW,Endocrine disruption (low)
FLAVOR,4,LOW,LOW,LOW,LOW,
ASCORBYL PALMITATE (VITAMIN C PALMITATE),2,LOW,LOW,LOW,LOW,Biochemical or cellular level changes (high)
HYDROGENATED POLYISOBUTENE,1,LOW,LOW,LOW,LOW,
ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
STEARYL ALCOHOL,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (moderate)"
SODIUM LAURETH SULFATE,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (moderate), Irritation (skin, eyes, or lungs) (moderate), and Contamination concerns (high)"
BENZYL SALICYLATE,3,LOW,HIGH,LOW,MODERATE,"Use restrictions (moderate), Endocrine disruption (low), and Irritation (skin, eyes, or lungs) (low)"
ALLANTOIN,1,LOW,LOW,LOW,LOW,
METHYLCHLOROISOTHIAZOLINONE,6,LOW,MODERATE,LOW,HIGH,"Use restrictions (high), Persistence and bioaccumulation (moderate), Ecotoxicology (low), and Irritation (skin, eyes, or lungs) (moderate)"
METHYLPARABEN,3,LOW,MODERATE,LOW,LOW,"Use restrictions (low), Endocrine disruption (moderate), and Biochemical or cellular level changes (moderate)"
CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT,2,LOW,LOW,LOW,LOW,Use restrictions (low) and Neurotoxicity (low)
ALOE BARBADENSIS (ALOE VERA) LEAF EXTRACT,1,MODERATE,LOW,LOW,LOW,Use restrictions (low)
SYNTHETIC WAX,1,LOW,LOW,LOW,LOW,
TITANIUM DIOXIDE (sunscreen grade),2,MODERATE,LOW,LOW,MODERATE,"Enhanced skin absorption, Use restrictions (moderate), Non-reproductive organ system toxicity (moderate), Irritation (skin, eyes, or lungs) (low), Occupational hazards (high), and Biochemical or cellular level changes (high)"
CITRAL,3,LOW,HIGH,LOW,MODERATE,"Use restrictions (moderate) and Irritation (skin, eyes, or lungs) (high)"
ACRYLATES COPOLYMER,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL,1,LOW,LOW,LOW,LOW,"Enhanced skin absorption, Multiple, additive exposure sources (low), and Irritation (skin, eyes, or lungs) (low)"
GLYCINE SOJA (SOYBEAN) OIL,1,LOW,LOW,LOW,LOW,
NYLON-12,1,LOW,LOW,LOW,LOW,Use restrictions (low)
NIACINAMIDE,1,LOW,LOW,LOW,LOW,
CETYL PEG/ PPG-10/ 1 DIMETHICONE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
SODIUM CITRATE,1,LOW,LOW,LOW,LOW,
PHENYL TRIMETHICONE,1,LOW,LOW,LOW,LOW,
ALUMINA,3,LOW,HIGH,LOW,LOW,"Enhanced skin absorption, Persistence and bioaccumulation (moderate), and Non-reproductive organ system toxicity (moderate)"
BISMUTH OXYCHLORIDE,1,LOW,LOW,LOW,LOW,
LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL,2,LOW,LOW,LOW,LOW,Endocrine disruption (moderate)
COUMARIN,4,LOW,HIGH,LOW,MODERATE,Use restrictions (moderate)
GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
PENTYLENE GLYCOL,1,LOW,LOW,LOW,LOW,"Enhanced skin absorption and Irritation (skin, eyes, or lungs) (low)"
D&C Red No. 33 (CI 17200),2,MODERATE,LOW,LOW,HIGH,Use restrictions (high) and Contamination concerns (high)
BORON NITRIDE,1,LOW,LOW,LOW,LOW,Enhanced skin absorption
BIS-DIGLYCERYL POLYACYLADIPATE-2,1,LOW,LOW,LOW,LOW,
PETROLATUM,2,LOW,LOW,LOW,HIGH,"Use restrictions (high), Persistence and bioaccumulation (low), Non-reproductive organ system toxicity (moderate), and Contamination concerns (high)"
SILICA DIMETHYL SILYLATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
CHLORPHENESIN,4,LOW,MODERATE,LOW,MODERATE,"Use restrictions (moderate), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (low), and Irritation (skin, eyes, or lungs) (moderate)"
DIISOSTEARYL MALATE,1,LOW,LOW,LOW,LOW,
ISOPROPYL ALCOHOL,2,LOW,LOW,LOW,LOW,"Enhanced skin absorption, Non-reproductive organ system toxicity (moderate), Irritation (skin, eyes, or lungs) (high), and Occupational hazards (moderate)"
BENZYL BENZOATE,4,LOW,HIGH,LOW,MODERATE,"Use restrictions (moderate), Endocrine disruption (low), Ecotoxicology (low), and Occupational hazards (high)"
SODIUM DEHYDROACETATE,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Occupational hazards (high)
OZOKERITE,1,LOW,LOW,LOW,LOW,
CETRIMONIUM CHLORIDE,7,LOW,HIGH,LOW,HIGH,"Use restrictions (high), Neurotoxicity (low), Endocrine disruption (low), Non-reproductive organ system toxicity (moderate), and Irritation (skin, eyes, or lungs) (low)"
PROPYLPARABEN,9,LOW,MODERATE,MODERATE,MODERATE,"Use restrictions (moderate), Endocrine disruption (high), and Ecotoxicology (low)"
HYDROXYETHYLCELLULOSE,1,LOW,LOW,LOW,LOW,
CALCIUM SODIUM BOROSILICATE,2,LOW,LOW,LOW,LOW,Use restrictions (low) and Non-reproductive organ system toxicity (low)
SORBITOL,1,LOW,LOW,LOW,LOW,
FD&C Yellow No. 6 (CI 15985) Aluminum Lake,3,LOW,MODERATE,LOW,HIGH,"Use restrictions (high), Neurotoxicity (low), Endocrine disruption (low), Non-reproductive organ system toxicity (low), and Contamination concerns (high)"
BEHENTRIMONIUM CHLORIDE,7,LOW,HIGH,LOW,HIGH,"Use restrictions (high), Neurotoxicity (low), Endocrine disruption (low), Non-reproductive organ system toxicity (moderate), and Irritation (skin, eyes, or lungs) (low)"
BENZOIC ACID,1,LOW,LOW,LOW,MODERATE,Use restrictions (moderate) and Non-reproductive organ system toxicity (low)
MAGNESIUM SULFATE,1,LOW,LOW,LOW,LOW,
ZINC STEARATE,2,LOW,LOW,LOW,LOW,"Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
DIPROPYLENE GLYCOL,1,LOW,LOW,LOW,LOW,"Endocrine disruption (low), Non-reproductive organ system toxicity (low), and Irritation (skin, eyes, or lungs) (moderate)"
DIMETHICONE/ VINYL DIMETHICONE CROSSPOLYMER,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (low)"
LACTIC ACID,1,LOW,LOW,LOW,HIGH,"Enhanced skin absorption, Use restrictions (high), and Irritation (skin, eyes, or lungs) (low)"
FERRIC FERROCYANIDE,1,LOW,LOW,LOW,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
ISOPROPYL MYRISTATE,1,LOW,LOW,LOW,LOW,"Enhanced skin absorption and Irritation (skin, eyes, or lungs) (moderate)"
TRIETHANOLAMINE,6,LOW,MODERATE,LOW,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (moderate), and Contamination concerns (high)"
C12-15 ALKYL BENZOATE,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (low)"
DECYL GLUCOSIDE,2,LOW,MODERATE,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (low), and Irritation (skin, eyes, or lungs) (low)"
CALCIUM ALUMINUM BOROSILICATE,2,LOW,LOW,LOW,LOW,Use restrictions (low) and Non-reproductive organ system toxicity (low)
SORBIC ACID,2,LOW,MODERATE,LOW,LOW,Non-reproductive organ system toxicity (low)
VITIS VINIFERA (GRAPE) SEED OIL,1,LOW,LOW,LOW,LOW,
PEG-40 HYDROGENATED CASTOR OIL,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (low), and Contamination concerns (high)"
GLYCERYL CAPRYLATE,1,LOW,LOW,LOW,LOW,Enhanced skin absorption
ASCORBIC ACID (VITAMIN C),1,LOW,LOW,LOW,LOW,
PARAFFIN,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
DIMETHICONE CROSSPOLYMER,1,LOW,LOW,LOW,LOW,
CARTHAMNUS TINCTORIUS (SAFFLOWER) OIL,1,LOW,LOW,LOW,LOW,
ACRYLATES/ C10-30 ALKYL ACRYLATE CROSSPOLYMER,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
CHROMIUM OXIDE GREENS,3,LOW,LOW,LOW,HIGH,"Enhanced skin absorption, Use restrictions (high), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
PEG-100 STEARATE,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
DIMETHICONOL,1,LOW,LOW,LOW,LOW,
SODIUM LAURYL SULFATE,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (moderate), and Irritation (skin, eyes, or lungs) (moderate)"
RETINYL PALMITATE (VITAMIN A PALMITATE),9,MODERATE,LOW,HIGH,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (low), and Biochemical or cellular level changes (high)"
DEHYDROACETIC ACID,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Occupational hazards (high)
GLYCOL DISTEARATE,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
ISONONYL ISONONANOATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
POLYHYDROXYSTEARIC ACID,1,LOW,LOW,LOW,LOW,
HYDROXYCITRONELLAL,3,LOW,HIGH,LOW,HIGH,Use restrictions (high)
ALPHA-ISOMETHYL IONONE,3,LOW,HIGH,LOW,MODERATE,Use restrictions (moderate)
MENTHA PIPERITA (PEPPERMINT) OIL,5,LOW,HIGH,LOW,LOW,"Enhanced skin absorption, Use restrictions (low), Neurotoxicity (low), Endocrine disruption (low), and Irritation (skin, eyes, or lungs) (low)"
CALENDULA OFFICINALIS (POT MARIGOLD) FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
PEG-10 DIMETHICONE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
OCTINOXATE,7,LOW,MODERATE,MODERATE,LOW,"Enhanced skin absorption, Neurotoxicity (low), Endocrine disruption (moderate), Persistence and bioaccumulation (low), Non-reproductive organ system toxicity (low), and Biochemical or cellular level changes (high)"
SODIUM BICARBONATE,1,LOW,LOW,LOW,LOW,
PALMITIC ACID,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
POLYSORBATE-60,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
LAUROYL LYSINE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
MAGNESIUM STEARATE,1,LOW,LOW,LOW,LOW,
SODIUM PCA,1,LOW,LOW,LOW,LOW,Use restrictions (low) and Contamination concerns (high)
POLYMETHYLSILSESQUIOXANE,1,LOW,LOW,LOW,LOW,
LILIAL,8,LOW,HIGH,MODERATE,HIGH,"Use restrictions (high), Endocrine disruption (low), Persistence and bioaccumulation (moderate), and Non-reproductive organ system toxicity (moderate)"
CI 45410 (D&C Red No. 27 or 28),5,LOW,LOW,LOW,HIGH,"Use restrictions (high), Endocrine disruption (low), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), Ecotoxicology (low), and Irritation (skin, eyes, or lungs) (low)"
HYDROGENATED CASTOR OIL,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low) and Irritation (skin, eyes, or lungs) (low)"
POLYQUATERNIUM-10,1,LOW,LOW,LOW,LOW,
METHICONE,1,LOW,LOW,LOW,LOW,
TRIBEHENIN,1,LOW,LOW,LOW,LOW,Enhanced skin absorption
FD&C Red No. 40 (CI 16035) Aluminum Lake,3,LOW,MODERATE,LOW,LOW,"Use restrictions (low), Neurotoxicity (low), Endocrine disruption (low), Persistence and bioaccumulation (low), Non-reproductive organ system toxicity (low), and Contamination concerns (high)"
CYCLOHEXASILOXANE,2,LOW,LOW,LOW,LOW,"Persistence and bioaccumulation (high), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
SORBITAN ISOSTEARATE,1,LOW,LOW,LOW,LOW,
AMINOMETHYL PROPANOL,1,LOW,LOW,LOW,HIGH,"Use restrictions (high), Ecotoxicology (low), Irritation (skin, eyes, or lungs) (high), and Contamination concerns (high)"
ALUMINUM STARCH OCTENYLSUCCINATE,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (low), and Contamination concerns (high)"
POLYQUATERNIUM-7,1,LOW,LOW,LOW,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (moderate), Ecotoxicology (low), and Contamination concerns (high)"
MALTODEXTRIN,1,LOW,LOW,LOW,LOW,
SIMMONDSIA CHINENSIS (JOJOBA) ESTERS,1,LOW,LOW,LOW,LOW,
COCO-GLUCOSIDE,2,LOW,LOW,LOW,LOW,"Use restrictions (low), Endocrine disruption (low), and Irritation (skin, eyes, or lungs) (low)"
OCTYLDODECYL STEAROYL STEARATE,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (moderate)"
ISOHEXADECANE,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
CUCUMIS SATIVUS (CUCUMBER) FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF OIL,6,LOW,HIGH,LOW,LOW,"Enhanced skin absorption, Endocrine disruption (low), Non-reproductive organ system toxicity (moderate), and Irritation (skin, eyes, or lungs) (moderate)"
PENTAERYTHRITYL TETRAISOSTEARATE,1,LOW,LOW,LOW,LOW,
SODIUM COCOYL ISETHIONATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
PVP,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
FD&C Red No. 40 (CI 16035),3,LOW,MODERATE,LOW,LOW,"Neurotoxicity (low), Endocrine disruption (low), Persistence and bioaccumulation (low), and Contamination concerns (high)"
COCO-CAPRYLATE/ CAPRATE,1,LOW,LOW,LOW,LOW,"Enhanced skin absorption, Use restrictions (low), and Irritation (skin, eyes, or lungs) (low)"
ZEA MAYS (CORN) STARCH,1,LOW,LOW,LOW,LOW,
MANGIFERA INDICA (MANGO) SEED BUTTER,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low) and Irritation (skin, eyes, or lungs) (low)"
ISOPROPYL PALMITATE,1,LOW,LOW,LOW,LOW,
SALICYLIC ACID,1,LOW,LOW,LOW,MODERATE,"Enhanced skin absorption, Use restrictions (moderate), Multiple, additive exposure sources (low), and Irritation (skin, eyes, or lungs) (moderate)"
METHYL METHACRYLATE CROSSPOLYMER,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (low)"
AMODIMETHICONE,1,LOW,LOW,LOW,LOW,
AVOBENZONE,1,LOW,LOW,LOW,MODERATE,"Use restrictions (moderate), Endocrine disruption (low), and Contamination concerns (high)"
Citrus Aurantium Dulcis (Orange) Peel Oil,5,LOW,HIGH,LOW,MODERATE,"Use restrictions (moderate), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), Ecotoxicology (low), and Irritation (skin, eyes, or lungs) (high)"
ARGININE,1,LOW,LOW,LOW,LOW,
SYNTHETIC BEESWAX,1,LOW,LOW,LOW,LOW,
HYDRATED SILICA,1,LOW,LOW,LOW,LOW,Persistence and bioaccumulation (high)
OCTISALATE,3,LOW,LOW,LOW,MODERATE,"Use restrictions (moderate), Endocrine disruption (low), and Biochemical or cellular level changes (high)"
CELLULOSE GUM,1,LOW,LOW,LOW,LOW,
